602,296,Button.left
511,465,Button.left
397,595,Button.left
Loop,Loop,Loop
496,213,Button.left
439,346,Button.left
383,535,Button.left
Loop,Loop,Loop
262,266,Button.left
202,353,Button.left
177,293,Button.left
Loop,Loop,Loop
Loop,Loop,Loop
