    959,     0.4021423,      1
    967,     0.4016085,      1
   1387,     0.3740814,      2
   1408,     0.3727307,      1
   2094,     0.3299512,      1
   2590,     0.3006440,      1
   2692,     0.2947861,      1
   2780,     0.2897785,      1
   2783,     0.2896086,      1
   3031,     0.2757312,      1
   3204,     0.2662523,      1
   3347,     0.2585423,      1
   3530,     0.2488409,      1
   3621,     0.2440858,      1
   3737,     0.2380908,      1
   4497,     0.2006575,      1
   4697,     0.1913383,      1
   5277,     0.1655660,      1
   6019,     0.1353120,      1
   6638,     0.1124066,      1
   6806,     0.1065561,      1
   6994,     0.1001946,      1
   7035,     0.0988332,      1
   7973,     0.0702314,      1
   8148,     0.0654348,      1
   8334,     0.0605226,      1
   8385,     0.0592092,      1
   8817,     0.0486617,      1
   8987,     0.0447945,      1
   9018,     0.0441066,      1
   9378,     0.0365075,      1
   9551,     0.0331112,      1
   9821,     0.0281418,      1
   9868,     0.0273180,      1
  10282,     0.0205904,      1
  10398,     0.0188756,      1
  10741,     0.0142413,      1
  10820,     0.0132663,      1
  11117,     0.0099100,      1
  11321,     0.0078877,      1
  11760,     0.0043177,      1
  11771,     0.0042419,      1
  12168,     0.0019569,      1
  12188,     0.0018649,      1
  12311,     0.0013477,      1
  12544,     0.0005977,      1
  12648,     0.0003600,      1
  12674,     0.0003100,      1
  12693,     0.0002758,      1
  13594,     0.0009493,      1
  13797,     0.0017218,      1
  14184,     0.0038269,      1
  14259,     0.0043308,      1
  14280,     0.0044775,      1
  14825,     0.0091387,      1
  15385,     0.0156422,      1
  15461,     0.0166586,      1
  15848,     0.0223310,      1
  15965,     0.0242092,      1
  15988,     0.0245873,      1
  16012,     0.0249850,      1
  16825,     0.0403421,      1
  17596,     0.0582883,      1
  17628,     0.0591043,      1
  17630,     0.0591555,      1
  17751,     0.0622937,      1
  17805,     0.0637204,      1
  18477,     0.0828261,      1
  18808,     0.0931563,      1
  19660,     0.1225381,      1
  19951,     0.1334947,      1
  20137,     0.1407437,      1
  20666,     0.1624078,      1
  20920,     0.1733607,      1
  21212,     0.1863939,      1
  21375,     0.1938746,      1
  21396,     0.1948491,      1
  21584,     0.2036819,      1
  21716,     0.2100006,      1
  21835,     0.2157797,      1
  21976,     0.2227288,      1
  22226,     0.2353207,      1
  22483,     0.2486260,      1
  23059,     0.2797754,      1
  23537,     0.3070205,      1
  23689,     0.3159494,      1
  23723,     0.3179642,      1
  23791,     0.3220130,      1
  24052,     0.3377910,      1
  24310,     0.3537585,      1
  24560,     0.3695826,      1
  24703,     0.3787896,      1
  25498,     0.4320411,      1
  25614,     0.4401039,      1
  25670,     0.4440229,      1
  26068,     0.4723764,      1
  26099,     0.4746217,      1
  26443,     0.4998944,      1
  26562,     0.5087895,      1
  27188,     0.5568743,      1
  27556,     0.5861546,      1
  27692,     0.5971654,      1
  27996,     0.6221483,      1
  28255,     0.6438370,      1
  29075,     0.7149543,      1
  29235,     0.7292651,      1
  29244,     0.7300743,      1
  29672,     0.7690742,      1
  29863,     0.7868059,      1
  30479,     0.8453695,      1
  30638,     0.8608271,      1
  31332,     0.9299357,      1
  31412,     0.9380736,      1
  31816,     0.9797116,      1
  32065,     1.0058249,      1
  32069,     1.0062472,      1
  32070,     1.0063528,      1
  32075,     1.0068808,      2
  32080,     1.0074090,      1
  32081,     1.0075146,      2
  32083,     1.0077260,      1
  32086,     1.0080430,      2
  32087,     1.0081487,      1
  32088,     1.0082543,      1
  32093,     1.0087829,      1
  32097,     1.0092058,      1
  32103,     1.0098403,      1
  32128,     1.0124864,      1
  32132,     1.0129101,      1
  32135,     1.0132279,      1
  32136,     1.0133338,      1
  32137,     1.0134398,      1
  32138,     1.0135458,      1
  32139,     1.0136517,      1
  32140,     1.0137577,      2
  32141,     1.0138637,      1
  32142,     1.0139697,      3
  32144,     1.0141817,      1
  32146,     1.0143937,      2
  32147,     1.0144997,      2
  32148,     1.0146057,      3
  32149,     1.0147117,      2
  32150,     1.0148178,      2
  32151,     1.0149238,      3
  32152,     1.0150299,      2
  32153,     1.0151359,      8
  32154,     1.0152420,     12
  32155,     1.0153480,     12
  32156,     1.0154541,      8
  32157,     1.0155601,     13
  32158,     1.0156662,     22
  32159,     1.0157723,     22
  32160,     1.0158784,     38
  32161,     1.0159845,     24
  32162,     1.0160906,     38
  32163,     1.0161967,     49
  32164,     1.0163028,     44
  32165,     1.0164089,     65
  32166,     1.0165150,     88
  32167,     1.0166211,     82
  32168,     1.0167273,     95
  32169,     1.0168334,    108
  32170,     1.0169396,    137
  32171,     1.0170457,    166
  32172,     1.0171519,    174
  32173,     1.0172580,    219
  32174,     1.0173642,    228
  32175,     1.0174703,    228
  32176,     1.0175765,    222
  32177,     1.0176827,    184
  32178,     1.0177889,    177
  32179,     1.0178951,    140
  32180,     1.0180013,     82
  32181,     1.0181075,     61
  32182,     1.0182137,     51
  32183,     1.0183199,     44
  32184,     1.0184261,     31
  32185,     1.0185323,     17
  32186,     1.0186386,     13
  32187,     1.0187448,     10
  32188,     1.0188510,     14
  32189,     1.0189573,      7
  32190,     1.0190635,     10
  32191,     1.0191698,      7
  32192,     1.0192761,      4
  32193,     1.0193823,      4
  32194,     1.0194886,      7
  32195,     1.0195949,     10
  32196,     1.0197012,      6
  32197,     1.0198075,      6
  32198,     1.0199138,      2
  32200,     1.0201264,      1
  32201,     1.0202327,      4
  32202,     1.0203390,      3
  32203,     1.0204453,      1
  32204,     1.0205517,      2
  32205,     1.0206580,      2
  32206,     1.0207643,      2
  32207,     1.0208707,      3
  32208,     1.0209770,      1
